GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wildstore-testdata,edu.sjsu.wildstore,TestDataDuplicator,218,0,20,0,34,0,16,0,6,0
wildstore-testdata,edu.sjsu.wildstore,TestDataUtils,68,47,6,6,14,13,7,3,3,1
